POS,LOCUS,BIOTYPE
2629,MT-RNR2,rRNA
2630,MT-RNR2,rRNA
2631,MT-RNR2,rRNA
2632,MT-RNR2,rRNA
2633,MT-RNR2,rRNA
2634,MT-RNR2,rRNA
2635,MT-RNR2,rRNA
2636,MT-RNR2,rRNA
2637,MT-RNR2,rRNA
2638,MT-RNR2,rRNA
2639,MT-RNR2,rRNA
2640,MT-RNR2,rRNA
2641,MT-RNR2,rRNA
2642,MT-RNR2,rRNA
2643,MT-RNR2,rRNA
2644,MT-RNR2,rRNA
2645,MT-RNR2,rRNA
2646,MT-RNR2,rRNA
2647,MT-RNR2,rRNA
2648,MT-RNR2,rRNA
2649,MT-RNR2,rRNA
2650,MT-RNR2,rRNA
2651,MT-RNR2,rRNA
2652,MT-RNR2,rRNA
2653,MT-RNR2,rRNA
2654,MT-RNR2,rRNA
2655,MT-RNR2,rRNA
2656,MT-RNR2,rRNA
2657,MT-RNR2,rRNA
2658,MT-RNR2,rRNA
2659,MT-RNR2,rRNA
2660,MT-RNR2,rRNA
2661,MT-RNR2,rRNA
2662,MT-RNR2,rRNA
2663,MT-RNR2,rRNA
2664,MT-RNR2,rRNA
2665,MT-RNR2,rRNA
2666,MT-RNR2,rRNA
2667,MT-RNR2,rRNA
2668,MT-RNR2,rRNA
2669,MT-RNR2,rRNA
2670,MT-RNR2,rRNA
2671,MT-RNR2,rRNA
2672,MT-RNR2,rRNA
2673,MT-RNR2,rRNA
2674,MT-RNR2,rRNA
2675,MT-RNR2,rRNA
2676,MT-RNR2,rRNA
2677,MT-RNR2,rRNA
2678,MT-RNR2,rRNA
2679,MT-RNR2,rRNA
2680,MT-RNR2,rRNA
2681,MT-RNR2,rRNA
2682,MT-RNR2,rRNA
2683,MT-RNR2,rRNA
2684,MT-RNR2,rRNA
2685,MT-RNR2,rRNA
2686,MT-RNR2,rRNA
2687,MT-RNR2,rRNA
2688,MT-RNR2,rRNA
2689,MT-RNR2,rRNA
2690,MT-RNR2,rRNA
2691,MT-RNR2,rRNA
2692,MT-RNR2,rRNA
2693,MT-RNR2,rRNA
2694,MT-RNR2,rRNA
2695,MT-RNR2,rRNA
2696,MT-RNR2,rRNA
2697,MT-RNR2,rRNA
2698,MT-RNR2,rRNA
2699,MT-RNR2,rRNA
2700,MT-RNR2,rRNA
2701,MT-RNR2,rRNA
2702,MT-RNR2,rRNA
2703,MT-RNR2,rRNA
2704,MT-RNR2,rRNA
2705,MT-RNR2,rRNA
2706,MT-RNR2,rRNA
2707,MT-RNR2,rRNA
2708,MT-RNR2,rRNA
2709,MT-RNR2,rRNA
2710,MT-RNR2,rRNA
2711,MT-RNR2,rRNA
2712,MT-RNR2,rRNA
2713,MT-RNR2,rRNA
2714,MT-RNR2,rRNA
2715,MT-RNR2,rRNA
2716,MT-RNR2,rRNA
2717,MT-RNR2,rRNA
2718,MT-RNR2,rRNA
2719,MT-RNR2,rRNA
2720,MT-RNR2,rRNA
2721,MT-RNR2,rRNA
2722,MT-RNR2,rRNA
2723,MT-RNR2,rRNA
2724,MT-RNR2,rRNA
2725,MT-RNR2,rRNA
2726,MT-RNR2,rRNA
2727,MT-RNR2,rRNA
2728,MT-RNR2,rRNA
2729,MT-RNR2,rRNA
2730,MT-RNR2,rRNA
2731,MT-RNR2,rRNA
2732,MT-RNR2,rRNA
2733,MT-RNR2,rRNA
2734,MT-RNR2,rRNA
2735,MT-RNR2,rRNA
2736,MT-RNR2,rRNA
2737,MT-RNR2,rRNA
2738,MT-RNR2,rRNA
2739,MT-RNR2,rRNA
2740,MT-RNR2,rRNA
2741,MT-RNR2,rRNA
2742,MT-RNR2,rRNA
2743,MT-RNR2,rRNA
2744,MT-RNR2,rRNA
2745,MT-RNR2,rRNA
2746,MT-RNR2,rRNA
2747,MT-RNR2,rRNA
2748,MT-RNR2,rRNA
2749,MT-RNR2,rRNA
2750,MT-RNR2,rRNA
2751,MT-RNR2,rRNA
2752,MT-RNR2,rRNA
2753,MT-RNR2,rRNA
2754,MT-RNR2,rRNA
2755,MT-RNR2,rRNA
2756,MT-RNR2,rRNA
2757,MT-RNR2,rRNA
2758,MT-RNR2,rRNA
2759,MT-RNR2,rRNA
2760,MT-RNR2,rRNA
2761,MT-RNR2,rRNA
2762,MT-RNR2,rRNA
2763,MT-RNR2,rRNA
2764,MT-RNR2,rRNA
2765,MT-RNR2,rRNA
2766,MT-RNR2,rRNA
2767,MT-RNR2,rRNA
2768,MT-RNR2,rRNA
2769,MT-RNR2,rRNA
2770,MT-RNR2,rRNA
2771,MT-RNR2,rRNA
2772,MT-RNR2,rRNA
2773,MT-RNR2,rRNA
2774,MT-RNR2,rRNA
2775,MT-RNR2,rRNA
2776,MT-RNR2,rRNA
2777,MT-RNR2,rRNA
2778,MT-RNR2,rRNA
2779,MT-RNR2,rRNA
2780,MT-RNR2,rRNA
2781,MT-RNR2,rRNA
2782,MT-RNR2,rRNA
2783,MT-RNR2,rRNA
2784,MT-RNR2,rRNA
2785,MT-RNR2,rRNA
2786,MT-RNR2,rRNA
2787,MT-RNR2,rRNA
2788,MT-RNR2,rRNA
2789,MT-RNR2,rRNA
2790,MT-RNR2,rRNA
2791,MT-RNR2,rRNA
2792,MT-RNR2,rRNA
2793,MT-RNR2,rRNA
2794,MT-RNR2,rRNA
2795,MT-RNR2,rRNA
2796,MT-RNR2,rRNA
2797,MT-RNR2,rRNA
2798,MT-RNR2,rRNA
2799,MT-RNR2,rRNA
2800,MT-RNR2,rRNA
2801,MT-RNR2,rRNA
2802,MT-RNR2,rRNA
2803,MT-RNR2,rRNA
2804,MT-RNR2,rRNA
2805,MT-RNR2,rRNA
2806,MT-RNR2,rRNA
2807,MT-RNR2,rRNA
2808,MT-RNR2,rRNA
2809,MT-RNR2,rRNA
2810,MT-RNR2,rRNA
2811,MT-RNR2,rRNA
2812,MT-RNR2,rRNA
2813,MT-RNR2,rRNA
2814,MT-RNR2,rRNA
2815,MT-RNR2,rRNA
2816,MT-RNR2,rRNA
2817,MT-RNR2,rRNA
2818,MT-RNR2,rRNA
2819,MT-RNR2,rRNA
2820,MT-RNR2,rRNA
2821,MT-RNR2,rRNA
2822,MT-RNR2,rRNA
2823,MT-RNR2,rRNA
2824,MT-RNR2,rRNA
2825,MT-RNR2,rRNA
2826,MT-RNR2,rRNA
2827,MT-RNR2,rRNA
2828,MT-RNR2,rRNA
2829,MT-RNR2,rRNA
2830,MT-RNR2,rRNA
2831,MT-RNR2,rRNA
2832,MT-RNR2,rRNA
2833,MT-RNR2,rRNA
2834,MT-RNR2,rRNA
2835,MT-RNR2,rRNA
2836,MT-RNR2,rRNA
2837,MT-RNR2,rRNA
2838,MT-RNR2,rRNA
2839,MT-RNR2,rRNA
2840,MT-RNR2,rRNA
2841,MT-RNR2,rRNA
2842,MT-RNR2,rRNA
2843,MT-RNR2,rRNA
2844,MT-RNR2,rRNA
2845,MT-RNR2,rRNA
2846,MT-RNR2,rRNA
2847,MT-RNR2,rRNA
2848,MT-RNR2,rRNA
2849,MT-RNR2,rRNA
2850,MT-RNR2,rRNA
2851,MT-RNR2,rRNA
2852,MT-RNR2,rRNA
2853,MT-RNR2,rRNA
2854,MT-RNR2,rRNA
2855,MT-RNR2,rRNA
2856,MT-RNR2,rRNA
2857,MT-RNR2,rRNA
2858,MT-RNR2,rRNA
2859,MT-RNR2,rRNA
2860,MT-RNR2,rRNA
2861,MT-RNR2,rRNA
2862,MT-RNR2,rRNA
2863,MT-RNR2,rRNA
2864,MT-RNR2,rRNA
2865,MT-RNR2,rRNA
2866,MT-RNR2,rRNA
2867,MT-RNR2,rRNA
2868,MT-RNR2,rRNA
2869,MT-RNR2,rRNA
2870,MT-RNR2,rRNA
2871,MT-RNR2,rRNA
2872,MT-RNR2,rRNA
2873,MT-RNR2,rRNA
2874,MT-RNR2,rRNA
2875,MT-RNR2,rRNA
2876,MT-RNR2,rRNA
2877,MT-RNR2,rRNA
2878,MT-RNR2,rRNA
2879,MT-RNR2,rRNA
2880,MT-RNR2,rRNA
2881,MT-RNR2,rRNA
2882,MT-RNR2,rRNA
2883,MT-RNR2,rRNA
2884,MT-RNR2,rRNA
2885,MT-RNR2,rRNA
2886,MT-RNR2,rRNA
2887,MT-RNR2,rRNA
2888,MT-RNR2,rRNA
2889,MT-RNR2,rRNA
2890,MT-RNR2,rRNA
2891,MT-RNR2,rRNA
2892,MT-RNR2,rRNA
2893,MT-RNR2,rRNA
2894,MT-RNR2,rRNA
2895,MT-RNR2,rRNA
2896,MT-RNR2,rRNA
2897,MT-RNR2,rRNA
2898,MT-RNR2,rRNA
2899,MT-RNR2,rRNA
2900,MT-RNR2,rRNA
2901,MT-RNR2,rRNA
2902,MT-RNR2,rRNA
2903,MT-RNR2,rRNA
2904,MT-RNR2,rRNA
2905,MT-RNR2,rRNA
2906,MT-RNR2,rRNA
2907,MT-RNR2,rRNA
2908,MT-RNR2,rRNA
2909,MT-RNR2,rRNA
2910,MT-RNR2,rRNA
2911,MT-RNR2,rRNA
2912,MT-RNR2,rRNA
2913,MT-RNR2,rRNA
2914,MT-RNR2,rRNA
2915,MT-RNR2,rRNA
2916,MT-RNR2,rRNA
2917,MT-RNR2,rRNA
2918,MT-RNR2,rRNA
2919,MT-RNR2,rRNA
2920,MT-RNR2,rRNA
2921,MT-RNR2,rRNA
2922,MT-RNR2,rRNA
2923,MT-RNR2,rRNA
2924,MT-RNR2,rRNA
2925,MT-RNR2,rRNA
2926,MT-RNR2,rRNA
2927,MT-RNR2,rRNA
2928,MT-RNR2,rRNA
2929,MT-RNR2,rRNA
2930,MT-RNR2,rRNA
2931,MT-RNR2,rRNA
2932,MT-RNR2,rRNA
2933,MT-RNR2,rRNA
2934,MT-RNR2,rRNA
2935,MT-RNR2,rRNA
2936,MT-RNR2,rRNA
2937,MT-RNR2,rRNA
2938,MT-RNR2,rRNA
2939,MT-RNR2,rRNA
2940,MT-RNR2,rRNA
2941,MT-RNR2,rRNA
2942,MT-RNR2,rRNA
2943,MT-RNR2,rRNA
2944,MT-RNR2,rRNA
2945,MT-RNR2,rRNA
2946,MT-RNR2,rRNA
2947,MT-RNR2,rRNA
2948,MT-RNR2,rRNA
2949,MT-RNR2,rRNA
2950,MT-RNR2,rRNA
2951,MT-RNR2,rRNA
2952,MT-RNR2,rRNA
2953,MT-RNR2,rRNA
2954,MT-RNR2,rRNA
2955,MT-RNR2,rRNA
2956,MT-RNR2,rRNA
2957,MT-RNR2,rRNA
2958,MT-RNR2,rRNA
2959,MT-RNR2,rRNA
2960,MT-RNR2,rRNA
2961,MT-RNR2,rRNA
2962,MT-RNR2,rRNA
2963,MT-RNR2,rRNA
2964,MT-RNR2,rRNA
2965,MT-RNR2,rRNA
2966,MT-RNR2,rRNA
2967,MT-RNR2,rRNA
2968,MT-RNR2,rRNA
2969,MT-RNR2,rRNA
2970,MT-RNR2,rRNA
2971,MT-RNR2,rRNA
2972,MT-RNR2,rRNA
2973,MT-RNR2,rRNA
2974,MT-RNR2,rRNA
2975,MT-RNR2,rRNA
2976,MT-RNR2,rRNA
2977,MT-RNR2,rRNA
2978,MT-RNR2,rRNA
2979,MT-RNR2,rRNA
2980,MT-RNR2,rRNA
2981,MT-RNR2,rRNA
2982,MT-RNR2,rRNA
2983,MT-RNR2,rRNA
2984,MT-RNR2,rRNA
2985,MT-RNR2,rRNA
2986,MT-RNR2,rRNA
2987,MT-RNR2,rRNA
2988,MT-RNR2,rRNA
2989,MT-RNR2,rRNA
2990,MT-RNR2,rRNA
2991,MT-RNR2,rRNA
2992,MT-RNR2,rRNA
2993,MT-RNR2,rRNA
2994,MT-RNR2,rRNA
2995,MT-RNR2,rRNA
2996,MT-RNR2,rRNA
2997,MT-RNR2,rRNA
2998,MT-RNR2,rRNA
2999,MT-RNR2,rRNA
3000,MT-RNR2,rRNA
3001,MT-RNR2,rRNA
3002,MT-RNR2,rRNA
3003,MT-RNR2,rRNA
3004,MT-RNR2,rRNA
3005,MT-RNR2,rRNA
3006,MT-RNR2,rRNA
3007,MT-RNR2,rRNA
3008,MT-RNR2,rRNA
3009,MT-RNR2,rRNA
3010,MT-RNR2,rRNA
3011,MT-RNR2,rRNA
3012,MT-RNR2,rRNA
3013,MT-RNR2,rRNA
3014,MT-RNR2,rRNA
3015,MT-RNR2,rRNA
3016,MT-RNR2,rRNA
3017,MT-RNR2,rRNA
3018,MT-RNR2,rRNA
3019,MT-RNR2,rRNA
3020,MT-RNR2,rRNA
3021,MT-RNR2,rRNA
3022,MT-RNR2,rRNA
3023,MT-RNR2,rRNA
3024,MT-RNR2,rRNA
3025,MT-RNR2,rRNA
3026,MT-RNR2,rRNA
3027,MT-RNR2,rRNA
3028,MT-RNR2,rRNA
3029,MT-RNR2,rRNA
3030,MT-RNR2,rRNA
3031,MT-RNR2,rRNA
3032,MT-RNR2,rRNA
3033,MT-RNR2,rRNA
3034,MT-RNR2,rRNA
3035,MT-RNR2,rRNA
3036,MT-RNR2,rRNA
3037,MT-RNR2,rRNA
3038,MT-RNR2,rRNA
3039,MT-RNR2,rRNA
3040,MT-RNR2,rRNA
3041,MT-RNR2,rRNA
3042,MT-RNR2,rRNA
3043,MT-RNR2,rRNA
3044,MT-RNR2,rRNA
3045,MT-RNR2,rRNA
3046,MT-RNR2,rRNA
3047,MT-RNR2,rRNA
3048,MT-RNR2,rRNA
3049,MT-RNR2,rRNA
3050,MT-RNR2,rRNA
3051,MT-RNR2,rRNA
3052,MT-RNR2,rRNA
3053,MT-RNR2,rRNA
3054,MT-RNR2,rRNA
3055,MT-RNR2,rRNA
3056,MT-RNR2,rRNA
3057,MT-RNR2,rRNA
3058,MT-RNR2,rRNA
3059,MT-RNR2,rRNA
3060,MT-RNR2,rRNA
3061,MT-RNR2,rRNA
3062,MT-RNR2,rRNA
3063,MT-RNR2,rRNA
3064,MT-RNR2,rRNA
3065,MT-RNR2,rRNA
3066,MT-RNR2,rRNA
3067,MT-RNR2,rRNA
3068,MT-RNR2,rRNA
3069,MT-RNR2,rRNA
3070,MT-RNR2,rRNA
3071,MT-RNR2,rRNA
3072,MT-RNR2,rRNA
3073,MT-RNR2,rRNA
3074,MT-RNR2,rRNA
3075,MT-RNR2,rRNA
3076,MT-RNR2,rRNA
3077,MT-RNR2,rRNA
3078,MT-RNR2,rRNA
3079,MT-RNR2,rRNA
3080,MT-RNR2,rRNA
3081,MT-RNR2,rRNA
3082,MT-RNR2,rRNA
3083,MT-RNR2,rRNA
3084,MT-RNR2,rRNA
3085,MT-RNR2,rRNA
3086,MT-RNR2,rRNA
3087,MT-RNR2,rRNA
3088,MT-RNR2,rRNA
3089,MT-RNR2,rRNA
3090,MT-RNR2,rRNA
3091,MT-RNR2,rRNA
3092,MT-RNR2,rRNA
3093,MT-RNR2,rRNA
3094,MT-RNR2,rRNA
3095,MT-RNR2,rRNA
3096,MT-RNR2,rRNA
3097,MT-RNR2,rRNA
3098,MT-RNR2,rRNA
3099,MT-RNR2,rRNA
3100,MT-RNR2,rRNA
3101,MT-RNR2,rRNA
3102,MT-RNR2,rRNA
3103,MT-RNR2,rRNA
3104,MT-RNR2,rRNA
3105,MT-RNR2,rRNA
3106,MT-RNR2,rRNA
3107,MT-RNR2,rRNA
3108,MT-RNR2,rRNA
3109,MT-RNR2,rRNA
3110,MT-RNR2,rRNA
3111,MT-RNR2,rRNA
3112,MT-RNR2,rRNA
3113,MT-RNR2,rRNA
3114,MT-RNR2,rRNA
3115,MT-RNR2,rRNA
3116,MT-RNR2,rRNA
3117,MT-RNR2,rRNA
3118,MT-RNR2,rRNA
3119,MT-RNR2,rRNA
3120,MT-RNR2,rRNA
3121,MT-RNR2,rRNA
3122,MT-RNR2,rRNA
3123,MT-RNR2,rRNA
3124,MT-RNR2,rRNA
3125,MT-RNR2,rRNA
3126,MT-RNR2,rRNA
3127,MT-RNR2,rRNA
3128,MT-RNR2,rRNA
3129,MT-RNR2,rRNA
3130,MT-RNR2,rRNA
3131,MT-RNR2,rRNA
3132,MT-RNR2,rRNA
3133,MT-RNR2,rRNA
3134,MT-RNR2,rRNA
3135,MT-RNR2,rRNA
3136,MT-RNR2,rRNA
3137,MT-RNR2,rRNA
3138,MT-RNR2,rRNA
3139,MT-RNR2,rRNA
3140,MT-RNR2,rRNA
3141,MT-RNR2,rRNA
3142,MT-RNR2,rRNA
3143,MT-RNR2,rRNA
3144,MT-RNR2,rRNA
3145,MT-RNR2,rRNA
3146,MT-RNR2,rRNA
3147,MT-RNR2,rRNA
3148,MT-RNR2,rRNA
3149,MT-RNR2,rRNA
3150,MT-RNR2,rRNA
3151,MT-RNR2,rRNA
3152,MT-RNR2,rRNA
3153,MT-RNR2,rRNA
3154,MT-RNR2,rRNA
3155,MT-RNR2,rRNA
3156,MT-RNR2,rRNA
3157,MT-RNR2,rRNA
3158,MT-RNR2,rRNA
3159,MT-RNR2,rRNA
3160,MT-RNR2,rRNA
3161,MT-RNR2,rRNA
3162,MT-RNR2,rRNA
3163,MT-RNR2,rRNA
3164,MT-RNR2,rRNA
3165,MT-RNR2,rRNA
3166,MT-RNR2,rRNA
3167,MT-RNR2,rRNA
3168,MT-RNR2,rRNA
3169,MT-RNR2,rRNA
3170,MT-RNR2,rRNA
3171,MT-RNR2,rRNA
3172,MT-RNR2,rRNA
3173,MT-RNR2,rRNA
3174,MT-RNR2,rRNA
3175,MT-RNR2,rRNA
3176,MT-RNR2,rRNA
3177,MT-RNR2,rRNA
3178,MT-RNR2,rRNA
3179,MT-RNR2,rRNA
3180,MT-RNR2,rRNA
3181,MT-RNR2,rRNA
3182,MT-RNR2,rRNA
3183,MT-RNR2,rRNA
3184,MT-RNR2,rRNA
3185,MT-RNR2,rRNA
3186,MT-RNR2,rRNA
3187,MT-RNR2,rRNA
3188,MT-RNR2,rRNA
3189,MT-RNR2,rRNA
3190,MT-RNR2,rRNA
3191,MT-RNR2,rRNA
3192,MT-RNR2,rRNA
3193,MT-RNR2,rRNA
3194,MT-RNR2,rRNA
3195,MT-RNR2,rRNA
3196,MT-RNR2,rRNA
3197,MT-RNR2,rRNA
3198,MT-RNR2,rRNA
3199,MT-RNR2,rRNA
3200,MT-RNR2,rRNA
3201,MT-RNR2,rRNA
3202,MT-RNR2,rRNA
3203,MT-RNR2,rRNA
3204,MT-RNR2,rRNA
3205,MT-RNR2,rRNA
3206,MT-RNR2,rRNA
3207,MT-RNR2,rRNA
3208,MT-RNR2,rRNA
3209,MT-RNR2,rRNA
3210,MT-RNR2,rRNA
3211,MT-RNR2,rRNA
3212,MT-RNR2,rRNA
3213,MT-RNR2,rRNA
3214,MT-RNR2,rRNA
3215,MT-RNR2,rRNA
3216,MT-RNR2,rRNA
3217,MT-RNR2,rRNA
3218,MT-RNR2,rRNA
3219,MT-RNR2,rRNA
3220,MT-RNR2,rRNA
3221,MT-RNR2,rRNA
3222,MT-RNR2,rRNA
3223,MT-RNR2,rRNA
3224,MT-RNR2,rRNA
3225,MT-RNR2,rRNA
3226,MT-RNR2,rRNA
3227,MT-RNR2,rRNA
3228,MT-RNR2,rRNA
3229,MT-RNR2,rRNA
3230,MT-TL1,tRNA
3231,MT-TL1,tRNA
3232,MT-TL1,tRNA
3233,MT-TL1,tRNA
3234,MT-TL1,tRNA
3235,MT-TL1,tRNA
3236,MT-TL1,tRNA
3237,MT-TL1,tRNA
3238,MT-TL1,tRNA
3239,MT-TL1,tRNA
3240,MT-TL1,tRNA
3241,MT-TL1,tRNA
3242,MT-TL1,tRNA
3243,MT-TL1,tRNA
3244,MT-TL1,tRNA
3245,MT-TL1,tRNA
3246,MT-TL1,tRNA
3247,MT-TL1,tRNA
3248,MT-TL1,tRNA
3249,MT-TL1,tRNA
3250,MT-TL1,tRNA
3251,MT-TL1,tRNA
3252,MT-TL1,tRNA
3253,MT-TL1,tRNA
3254,MT-TL1,tRNA
3255,MT-TL1,tRNA
3256,MT-TL1,tRNA
3257,MT-TL1,tRNA
3258,MT-TL1,tRNA
3259,MT-TL1,tRNA
3260,MT-TL1,tRNA
3261,MT-TL1,tRNA
3262,MT-TL1,tRNA
3263,MT-TL1,tRNA
3264,MT-TL1,tRNA
3265,MT-TL1,tRNA
3266,MT-TL1,tRNA
3267,MT-TL1,tRNA
3268,MT-TL1,tRNA
3269,MT-TL1,tRNA
3270,MT-TL1,tRNA
3271,MT-TL1,tRNA
3272,MT-TL1,tRNA
3273,MT-TL1,tRNA
3274,MT-TL1,tRNA
3275,MT-TL1,tRNA
3276,MT-TL1,tRNA
3277,MT-TL1,tRNA
3278,MT-TL1,tRNA
3279,MT-TL1,tRNA
3280,MT-TL1,tRNA
3281,MT-TL1,tRNA
3282,MT-TL1,tRNA
3283,MT-TL1,tRNA
3284,MT-TL1,tRNA
3285,MT-TL1,tRNA
3286,MT-TL1,tRNA
3287,MT-TL1,tRNA
3288,MT-TL1,tRNA
3289,MT-TL1,tRNA
3290,MT-TL1,tRNA
3291,MT-TL1,tRNA
3292,MT-TL1,tRNA
3293,MT-TL1,tRNA
3294,MT-TL1,tRNA
3295,MT-TL1,tRNA
3296,MT-TL1,tRNA
3297,MT-TL1,tRNA
3298,MT-TL1,tRNA
3299,MT-TL1,tRNA
3300,MT-TL1,tRNA
3301,MT-TL1,tRNA
3302,MT-TL1,tRNA
3303,MT-TL1,tRNA
3304,MT-TL1,tRNA
3307,MT-ND1,protein_coding
3308,MT-ND1,protein_coding
3309,MT-ND1,protein_coding
3310,MT-ND1,protein_coding
3311,MT-ND1,protein_coding
3312,MT-ND1,protein_coding
3313,MT-ND1,protein_coding
3314,MT-ND1,protein_coding
3315,MT-ND1,protein_coding
3316,MT-ND1,protein_coding
3317,MT-ND1,protein_coding
3318,MT-ND1,protein_coding
3319,MT-ND1,protein_coding
3320,MT-ND1,protein_coding
3321,MT-ND1,protein_coding
3322,MT-ND1,protein_coding
3323,MT-ND1,protein_coding
3324,MT-ND1,protein_coding
3325,MT-ND1,protein_coding
3326,MT-ND1,protein_coding
3327,MT-ND1,protein_coding
3328,MT-ND1,protein_coding
3329,MT-ND1,protein_coding
3330,MT-ND1,protein_coding
3331,MT-ND1,protein_coding
3332,MT-ND1,protein_coding
3333,MT-ND1,protein_coding
3334,MT-ND1,protein_coding
3335,MT-ND1,protein_coding
3336,MT-ND1,protein_coding
3337,MT-ND1,protein_coding
3338,MT-ND1,protein_coding
3339,MT-ND1,protein_coding
3340,MT-ND1,protein_coding
3341,MT-ND1,protein_coding
3342,MT-ND1,protein_coding
3343,MT-ND1,protein_coding
3344,MT-ND1,protein_coding
3345,MT-ND1,protein_coding
3346,MT-ND1,protein_coding
3347,MT-ND1,protein_coding
3348,MT-ND1,protein_coding
3349,MT-ND1,protein_coding
3350,MT-ND1,protein_coding
3351,MT-ND1,protein_coding
3352,MT-ND1,protein_coding
3353,MT-ND1,protein_coding
3354,MT-ND1,protein_coding
3355,MT-ND1,protein_coding
3356,MT-ND1,protein_coding
3357,MT-ND1,protein_coding
3358,MT-ND1,protein_coding
3359,MT-ND1,protein_coding
3360,MT-ND1,protein_coding
3361,MT-ND1,protein_coding
3362,MT-ND1,protein_coding
3363,MT-ND1,protein_coding
3364,MT-ND1,protein_coding
3365,MT-ND1,protein_coding
3366,MT-ND1,protein_coding
3367,MT-ND1,protein_coding
3368,MT-ND1,protein_coding
3369,MT-ND1,protein_coding
3370,MT-ND1,protein_coding
3371,MT-ND1,protein_coding
3372,MT-ND1,protein_coding
3373,MT-ND1,protein_coding
3374,MT-ND1,protein_coding
3375,MT-ND1,protein_coding
3376,MT-ND1,protein_coding
3377,MT-ND1,protein_coding
3378,MT-ND1,protein_coding
3379,MT-ND1,protein_coding
3380,MT-ND1,protein_coding
3381,MT-ND1,protein_coding
3382,MT-ND1,protein_coding
3383,MT-ND1,protein_coding
3384,MT-ND1,protein_coding
3385,MT-ND1,protein_coding
3386,MT-ND1,protein_coding
3387,MT-ND1,protein_coding
3388,MT-ND1,protein_coding
3389,MT-ND1,protein_coding
3390,MT-ND1,protein_coding
3391,MT-ND1,protein_coding
3392,MT-ND1,protein_coding
3393,MT-ND1,protein_coding
3394,MT-ND1,protein_coding
3395,MT-ND1,protein_coding
3396,MT-ND1,protein_coding
3397,MT-ND1,protein_coding
3398,MT-ND1,protein_coding
3399,MT-ND1,protein_coding
3400,MT-ND1,protein_coding
3401,MT-ND1,protein_coding
3402,MT-ND1,protein_coding
3403,MT-ND1,protein_coding
3404,MT-ND1,protein_coding
3405,MT-ND1,protein_coding
3406,MT-ND1,protein_coding
3407,MT-ND1,protein_coding
3408,MT-ND1,protein_coding
3409,MT-ND1,protein_coding
3410,MT-ND1,protein_coding
3411,MT-ND1,protein_coding
3412,MT-ND1,protein_coding
3413,MT-ND1,protein_coding
3414,MT-ND1,protein_coding
3415,MT-ND1,protein_coding
3416,MT-ND1,protein_coding
3417,MT-ND1,protein_coding
3418,MT-ND1,protein_coding
3419,MT-ND1,protein_coding
3420,MT-ND1,protein_coding
3421,MT-ND1,protein_coding
3422,MT-ND1,protein_coding
3423,MT-ND1,protein_coding
3424,MT-ND1,protein_coding
3425,MT-ND1,protein_coding
3426,MT-ND1,protein_coding
3427,MT-ND1,protein_coding
3428,MT-ND1,protein_coding
3429,MT-ND1,protein_coding
3430,MT-ND1,protein_coding
3431,MT-ND1,protein_coding
3432,MT-ND1,protein_coding
3433,MT-ND1,protein_coding
3434,MT-ND1,protein_coding
3435,MT-ND1,protein_coding
3436,MT-ND1,protein_coding
3437,MT-ND1,protein_coding
3438,MT-ND1,protein_coding
3439,MT-ND1,protein_coding
3440,MT-ND1,protein_coding
3441,MT-ND1,protein_coding
3442,MT-ND1,protein_coding
3443,MT-ND1,protein_coding
3444,MT-ND1,protein_coding
3445,MT-ND1,protein_coding
3446,MT-ND1,protein_coding
3447,MT-ND1,protein_coding
3448,MT-ND1,protein_coding
3449,MT-ND1,protein_coding
3450,MT-ND1,protein_coding
3451,MT-ND1,protein_coding
3452,MT-ND1,protein_coding
3453,MT-ND1,protein_coding
3454,MT-ND1,protein_coding
3455,MT-ND1,protein_coding
3456,MT-ND1,protein_coding
3457,MT-ND1,protein_coding
3458,MT-ND1,protein_coding
3459,MT-ND1,protein_coding
3460,MT-ND1,protein_coding
3461,MT-ND1,protein_coding
3462,MT-ND1,protein_coding
3463,MT-ND1,protein_coding
3464,MT-ND1,protein_coding
3465,MT-ND1,protein_coding
3466,MT-ND1,protein_coding
3467,MT-ND1,protein_coding
3468,MT-ND1,protein_coding
3469,MT-ND1,protein_coding
3470,MT-ND1,protein_coding
3471,MT-ND1,protein_coding
3472,MT-ND1,protein_coding
3473,MT-ND1,protein_coding
3474,MT-ND1,protein_coding
3475,MT-ND1,protein_coding
3476,MT-ND1,protein_coding
3477,MT-ND1,protein_coding
3478,MT-ND1,protein_coding
3479,MT-ND1,protein_coding
3480,MT-ND1,protein_coding
3481,MT-ND1,protein_coding
3482,MT-ND1,protein_coding
3483,MT-ND1,protein_coding
3484,MT-ND1,protein_coding
3485,MT-ND1,protein_coding
3486,MT-ND1,protein_coding
3487,MT-ND1,protein_coding
3488,MT-ND1,protein_coding
3489,MT-ND1,protein_coding
3490,MT-ND1,protein_coding
3491,MT-ND1,protein_coding
3492,MT-ND1,protein_coding
3493,MT-ND1,protein_coding
3494,MT-ND1,protein_coding
3495,MT-ND1,protein_coding
3496,MT-ND1,protein_coding
3497,MT-ND1,protein_coding
3498,MT-ND1,protein_coding
3499,MT-ND1,protein_coding
3500,MT-ND1,protein_coding
3501,MT-ND1,protein_coding
3502,MT-ND1,protein_coding
3503,MT-ND1,protein_coding
3504,MT-ND1,protein_coding
3505,MT-ND1,protein_coding
3506,MT-ND1,protein_coding
3507,MT-ND1,protein_coding
3508,MT-ND1,protein_coding
